date,market,matchup,pick,price_taken,result
2026-08-04,pitcher_strikeouts,"Miami Marlins@Atlanta Braves","Grant Holmes Under 4.5",100,,not_tracked,,,-0.76,L,official_k
2026-08-04,pitcher_strikeouts,"San Francisco Giants@Texas Rangers","MacKenzie Gore Under 6.5",-103,,not_tracked,,,-0.8,W,official_k
2026-08-04,pitcher_strikeouts,"Toronto Blue Jays@Houston Astros","Trey Yesavage Under 5.5",-110,,not_tracked,,,-0.98,W,official_k
2026-08-04,pitcher_strikeouts,"Detroit Tigers@Seattle Mariners","Emerson Hancock Under 5.5",-156,,not_tracked,,,-1.53,L,official_k
2026-08-05,pitcher_strikeouts,"Los Angeles Angels@Baltimore Orioles","Reid Detmers Over 6.5",-154,,not_tracked,,,1.52,L,official_k
2026-08-05,moneyline,"Athletics@Cincinnati Reds","Cincinnati Reds",-174,,not_tracked,81,0.6576,0.0404,W,win_needs_more_sample
2026-08-05,pitcher_strikeouts,"Athletics@Cincinnati Reds","Jacob Lopez Over 5.5",118,,not_tracked,,,0.72,W,official_k
2026-08-05,pitcher_strikeouts,"Athletics@Cincinnati Reds","Rhett Lowder Under 4.5",-153,,not_tracked,,,-0.95,W,official_k
2026-08-05,pitcher_strikeouts,"New York Mets@Cleveland Guardians","Christian Scott Under 5.5",-142,,not_tracked,,,-1.14,L,official_k
2026-08-05,pitcher_strikeouts,"Chicago White Sox@Boston Red Sox","Sean Burke Over 5.5",-142,,not_tracked,,,0.85,L,official_k
2026-08-05,pitcher_strikeouts,"Washington Nationals@Philadelphia Phillies","Jake Irvin Over 3.5",-122,,not_tracked,,,0.82,L,official_k
2026-08-06,pitcher_strikeouts,"Los Angeles Angels@Baltimore Orioles","Brandon Young Over 4.5",-167,,not_tracked,,,1.9,L,official_k
2026-08-06,pitcher_strikeouts,"Athletics@Cincinnati Reds","Mason Barnett Over 4.5",-124,,not_tracked,,,2,W,official_k
2026-08-06,pitcher_strikeouts,"Athletics@Cincinnati Reds","Andrew Abbott Over 4.5",104,,not_tracked,,,1.6,L,official_k
2026-08-06,pitcher_strikeouts,"Toronto Blue Jays@Chicago Cubs","Dylan Cease Over 7.5",-102,,not_tracked,,,1.2,W,official_k
2026-08-06,moneyline,"Chicago White Sox@Boston Red Sox","Boston Red Sox",-184,,not_tracked,80,0.6114,-0.0259,W,win_needs_more_sample
2026-08-06,pitcher_strikeouts,"Chicago White Sox@Boston Red Sox","Ranger Suarez Over 5.5",-138,,not_tracked,,,2.19,L,official_k
