date,pitcher,line,over_price,under_price,game,game_pk,role,expected_innings,bullpen_game,pitching_plan_reported,books,k_rate_season,recent_form_starts,recent_form_bf,bf_per_ip,recent_form_k_rate,recent_form_weight,opp_k_source,opp_lineup_k,opp_lineup_k_weighted,opp_lineup_k_resolved,opp_team_season_k,league_lineup_k,whiff_leverage,actual_k,ou_result,lean,lean_result,projection_raw,calibration_band,k_rate_used,opp_k_adjustment,calibration_bias,error_raw,abs_error_raw,error_corrected,abs_error_corrected,projection
8/4/2026,Jesús Luzardo,7.5,,,,,,,,,,,,,,,,,,,,,,,7,U,1.2,W,6.3,6-7,,,,0.7,0.7,0.7,0.7,6.3
8/4/2026,Hunter Dobbins,3.5,-159,130,,,,,,,,,,,,,,,,,,,,,4,O,2.12,W,5.62,<6,,,,-1.62,1.62,-1.62,1.62,5.62
8/4/2026,Ryan Weathers,5.5,-108,-118,,,,,,,,,,,,,,,,,,,,,6,O,0.12,,5.62,<6,,,,0.38,0.38,0.38,0.38,5.62
8/4/2026,Davis Martin,4.5,120,-154,,,,,,,,,,,,,,,,,,,,,1,U,0.55,,3.95,<6,,,,-2.95,2.95,-2.95,2.95,3.95
8/4/2026,Patrick Sandoval,5.5,-115,-110,,,,,,,,,,,,,,,,,,,,,5,U,0.56,,6.06,6-7,,,,-1.06,1.06,-1.06,1.06,6.06
8/4/2026,Grant Holmes,4.5,,,,,,,,,,,,,,,,,,,,,,,5,O,0.33,,4.17,<6,,,,0.83,0.83,0.83,0.83,4.17
8/4/2026,Joe Ryan,5.5,-104,102,,,,,,,,,,,,,,,,,,,,,3,U,0.38,,5.12,<6,,,,-2.12,2.12,-2.12,2.12,5.12
8/4/2026,Randy Dobnak,2.5,-130,102,,,,,,,,,,,,,,,,,,,,,1,U,0.4,,2.1,<6,,,,-1.1,1.1,-1.1,1.1,2.1
8/4/2026,Jared Jones,5.5,110,-143,,,,,,,,,,,,,,,,,,,,,4,U,0.55,,4.95,<6,,,,-0.95,0.95,-0.95,0.95,4.95
8/4/2026,Logan Henderson,6.5,100,-128,,,,,,,,,,,,,,,,,,,,,8,O,0.68,,7.18,>=7,,,,0.82,0.82,0.82,0.82,7.18
8/4/2026,Tarik Skubal,7.5,118,-150,,,,,,,,,,,,,,,,,,,,,6,U,0.54,,6.96,6-7,,,,-0.96,0.96,-0.96,0.96,6.96
8/4/2026,Javier Assad,3.5,104,-132,,,,,,,,,,,,,,,,,,,,,3,U,0.13,,3.37,<6,,,,-0.37,0.37,-0.37,0.37,3.37
8/4/2026,Blade Tidwell,4.5,150,-118,,,,,,,,,,,,,,,,,,,,,3,U,0.3,,4.2,<6,,,,-1.2,1.2,-1.2,1.2,4.2
8/4/2026,MacKenzie Gore,6.5,104,100,,,,,,,,,,,,,,,,,,,,,4,U,0.83,,5.67,<6,,,,-1.67,1.67,-1.67,1.67,5.67
8/4/2026,Trey Yesavage,5.5,-111,-115,,,,,,,,,,,,,,,,,,,,,0,U,1.19,W,4.31,<6,,,,-4.31,4.31,-4.31,4.31,4.31
8/4/2026,Freddy Peralta,5.5,120,-154,,,,,,,,,,,,,,,,,,,,,3,U,0.28,,5.78,<6,,,,-2.78,2.78,-2.78,2.78,5.78
8/4/2026,Gabriel Hughes,3.5,108,-138,,,,,,,,,,,,,,,,,,,,,7,O,0.57,,4.07,<6,,,,2.93,2.93,2.93,2.93,4.07
8/4/2026,Randy Vásquez,2.5,-152,115,,,,,,,,,,,,,,,,,,,,,1,U,0.22,,2.28,<6,,,,-1.28,1.28,-1.28,1.28,2.28
8/4/2026,Eduardo Rodriguez,3.5,-180,140,,,,,,,,,,,,,,,,,,,,,4,O,0.19,,3.69,<6,,,,0.31,0.31,0.31,0.31,3.69
8/4/2026,Troy Melton,5.5,110,-140,,,,,,,,,,,,,,,,,,,,,4,U,0.43,,5.07,<6,,,,-1.07,1.07,-1.07,1.07,5.07
8/4/2026,Emerson Hancock,4.5,,,,,,,,,,,,,,,,,,,,,,,6,O,0.38,,4.12,<6,,,,1.88,1.88,1.88,1.88,4.12
