date,gamePk,matchup,pick_team,opp_team,status,result,lab_score_published,model_prob,strength_prob_pick,run_prob_pick,pick_pitcher_score,opp_pitcher_score,pick_bullpen_risk,opp_bullpen_risk,assigned_bullpen_innings,pick_woba_15d,opp_woba_15d,pick_woba_30d,opp_woba_30d,pitch_gap,pitch_edge_supports
08/17/2026,823343,Detroit Tigers @ Pittsburgh Pirates,Pittsburgh Pirates,Detroit Tigers,pass,L,14,0.5174,0.5347,0.1492,61,60,77,72,4.5,0.2954,0.3367,0.2949,0.3458,1,FALSE
08/18/2026,824398,San Francisco Giants @ Cleveland Guardians,Cleveland Guardians,San Francisco Giants,official_pick,W,81,0.7376,0.9752,0.7221,78,34,56,58,3.2,0.3194,0.2775,0.3128,0.2936,44,TRUE
08/18/2026,822938,Toronto Blue Jays @ Tampa Bay Rays,Tampa Bay Rays,Toronto Blue Jays,value_watch,L,77,0.6987,0.8973,0.5667,81,72,87,81,3,0.3578,0.2924,0.3356,0.2876,9,TRUE
08/18/2026,823423,Miami Marlins @ Philadelphia Phillies,Philadelphia Phillies,Miami Marlins,watchlist,W,73,0.7414,0.9828,,86,44,76,65,3.2,0.3361,0.3215,0.3273,0.3144,42,TRUE
08/18/2026,824475,St. Louis Cardinals @ Cincinnati Reds,St. Louis Cardinals,Cincinnati Reds,watchlist,W,72,0.6896,0.1207,0.3333,67,59,66,78,3.9,0.3361,0.2727,0.2997,0.2935,8,TRUE
08/18/2026,824723,Arizona Diamondbacks @ Boston Red Sox,Boston Red Sox,Arizona Diamondbacks,watchlist,W,71,0.7402,0.9804,0.74,73,50,71,55,3.9,0.3601,0.3338,0.3415,0.3396,23,TRUE
08/18/2026,824154,Los Angeles Angels @ Houston Astros,Houston Astros,Los Angeles Angels,watchlist,L,70,0.6625,0.825,0.9117,73,64,65,50,5.1,0.294,0.2659,0.3312,0.2745,9,TRUE
08/18/2026,824075,Athletics @ Kansas City Royals,Kansas City Royals,Athletics,watchlist,W,65,0.7362,0.9724,0.4534,65,46,43,57,7,0.2894,0.3175,0.2931,0.3097,19,TRUE
08/18/2026,824319,Los Angeles Dodgers @ Colorado Rockies,Los Angeles Dodgers,Colorado Rockies,pass,W,63,0.7221,0.0557,0.596,59,46,63,68,3.9,0.3083,0.3183,0.318,0.3151,13,TRUE
08/18/2026,824639,Chicago White Sox @ Chicago Cubs,Chicago Cubs,Chicago White Sox,pass,W,61,0.6312,0.7624,0.7564,63,59,77,94,3.4,0.3557,0.3426,0.3478,0.3199,4,TRUE
08/18/2026,823667,Atlanta Braves @ Minnesota Twins,Atlanta Braves,Minnesota Twins,pass,L,60,0.6712,0.1576,0.3604,60,53,53,80,3.7,0.2984,0.3213,0.3146,0.3049,7,TRUE
08/18/2026,823341,Detroit Tigers @ Pittsburgh Pirates,Detroit Tigers,Pittsburgh Pirates,pass,L,59,0.5897,0.3206,0.1399,79,76,63,98,3.3,0.326,0.3021,0.3425,0.293,3,FALSE
08/18/2026,823586,San Diego Padres @ New York Mets,New York Mets,San Diego Padres,pass,L,56,0.6703,0.8406,0.3248,75,67,58,53,3.3,0.3506,0.335,0.3284,0.3532,8,TRUE
08/18/2026,822859,Washington Nationals @ Texas Rangers,Texas Rangers,Washington Nationals,pass,W,52,0.7385,0.977,0.2875,66,30,88,66,4.3,0.2784,0.3187,0.2992,0.3363,36,TRUE
08/18/2026,824803,New York Yankees @ Baltimore Orioles,New York Yankees,Baltimore Orioles,pass,W,26,0.5645,0.3711,,66,64,51,74,3.9,0.2946,0.3431,0.2781,0.3215,2,FALSE
08/18/2026,823749,Seattle Mariners @ Milwaukee Brewers,Seattle Mariners,Milwaukee Brewers,pass,L,26,0.5219,0.4562,0.6558,80,77,71,49,3.3,0.2977,0.2954,0.3094,0.3107,3,FALSE
08/19/2026,822937,Toronto Blue Jays @ Tampa Bay Rays,Tampa Bay Rays,Toronto Blue Jays,official_pick,W,83,0.7427,0.9855,0.8522,81,39,88,74,3.4,0.3527,0.3009,0.338,0.2949,42,TRUE
08/19/2026,824394,San Francisco Giants @ Cleveland Guardians,Cleveland Guardians,San Francisco Giants,value_watch,L,82,0.7392,0.9785,0.8445,80,53,51,59,3.1,0.3133,0.2691,0.3112,0.2918,27,TRUE
08/19/2026,823587,San Diego Padres @ New York Mets,San Diego Padres,New York Mets,watchlist,L,74,0.7405,0.0191,0.2307,70,40,49,54,3.3,0.3407,0.3437,0.3413,0.3215,30,TRUE
