date,gamePk,model_version,line,over_price,under_price,projection,actual_total,ou_result,lean,lean_result,setup_rating,classification,matchup
8/5/2026,823429,totals-runs-v4-additive-median-woba,9,102,-122,9.1,14,O,0.1,,84,no_lean,Washington Nationals @ Philadelphia Phillies
8/5/2026,823516,totals-runs-v4-additive-median-woba,8.5,100,-110,5.9,4,U,-2.6,W,82,research_lean,St. Louis Cardinals @ New York Yankees
8/5/2026,823753,totals-runs-v4-additive-median-woba,7.5,-118,103,7.8,6,U,0.3,,78,no_lean,Pittsburgh Pirates @ Milwaukee Brewers
8/5/2026,824082,totals-runs-v4-additive-median-woba,9,-103,-110,8.8,3,U,-0.2,,81,no_lean,Minnesota Twins @ Kansas City Royals
8/5/2026,824158,totals-runs-v4-additive-median-woba,9.5,-125,110,8.8,9,U,-0.7,,88,no_lean,Toronto Blue Jays @ Houston Astros
8/5/2026,824322,totals-runs-v4-additive-median-woba,10.5,-118,-102,8.7,4,U,-1.8,W,93,research_lean,Tampa Bay Rays @ Colorado Rockies
8/5/2026,824402,totals-runs-v4-additive-median-woba,7.5,-113,102,7.9,11,O,0.4,,91,no_lean,New York Mets @ Cleveland Guardians
8/5/2026,824482,totals-runs-v4-additive-median-woba,9,-123,107,8.9,5,U,-0.1,,91,no_lean,Athletics @ Cincinnati Reds
8/5/2026,824646,totals-runs-v4-additive-median-woba,11.5,-120,100,11.4,13,O,-0.1,,87,no_lean,Los Angeles Dodgers @ Chicago Cubs
8/5/2026,824728,totals-runs-v4-additive-median-woba,9,-110,-102,7.1,4,U,-1.9,W,81,research_lean,Chicago White Sox @ Boston Red Sox
8/5/2026,824806,totals-runs-v4-additive-median-woba,10,-104,-118,8.8,7,U,-1.2,W,82,research_lean,Los Angeles Angels @ Baltimore Orioles
8/5/2026,824889,totals-runs-v4-additive-median-woba,9,-101,-108,5.9,5,U,-3.1,W,89,research_lean,Miami Marlins @ Atlanta Braves
8/5/2026,825052,totals-runs-v4-additive-median-woba,9,-104,-111,9.7,14,O,0.7,,80,no_lean,San Diego Padres @ Arizona Diamondbacks
8/6/2026,823105,totals-runs-v4-additive-median-woba,8.5,100,-118,11,11,O,2.5,W,76,research_lean,Detroit Tigers @ Seattle Mariners
8/6/2026,823430,totals-runs-v4-additive-median-woba,9,103,-107,8.9,10,O,-0.1,,83,no_lean,Washington Nationals @ Philadelphia Phillies
8/6/2026,823754,totals-runs-v4-additive-median-woba,7.5,-112,-102,7.6,7,U,0.1,,56,no_lean,Pittsburgh Pirates @ Milwaukee Brewers
8/6/2026,824080,totals-runs-v4-additive-median-woba,8.5,-120,107,6.7,7,U,-1.8,W,84,research_lean,Minnesota Twins @ Kansas City Royals
8/6/2026,824401,totals-runs-v4-additive-median-woba,7.5,-111,-102,7.5,19,O,0,,71,no_lean,New York Mets @ Cleveland Guardians
8/6/2026,824481,totals-runs-v4-additive-median-woba,9.5,-102,100,7.3,11,O,-2.2,,50,research_lean,Athletics @ Cincinnati Reds
8/6/2026,824664,totals-runs-v4-additive-median-woba,5.5,200,-190,7.5,5,U,2,L,90,research_lean,Toronto Blue Jays @ Chicago Cubs
8/6/2026,824729,totals-runs-v4-additive-median-woba,8.5,-117,103,6.7,23,O,-1.8,L,81,research_lean,Chicago White Sox @ Boston Red Sox
8/6/2026,824804,totals-runs-v4-additive-median-woba,9.5,-113,-102,9.2,5,U,-0.3,,57,no_lean,Los Angeles Angels @ Baltimore Orioles
8/6/2026,824885,totals-runs-v4-additive-median-woba,9,-106,-105,5.6,14,O,-3.4,L,90,research_lean,Miami Marlins @ Atlanta Braves
8/6/2026,825053,totals-runs-v4-additive-median-woba,9,-104,-105,10.9,6,U,1.9,L,71,research_lean,San Diego Padres @ Arizona Diamondbacks
8/7/2026,822699,totals-runs-v4-additive-median-woba,8.5,-113,105,8.7,8,U,0.2,,70,no_lean,Cincinnati Reds @ Washington Nationals
8/7/2026,822863,totals-runs-v4-additive-median-woba,7.5,-109,100,10.9,3,U,3.4,L,83,research_lean,Baltimore Orioles @ Texas Rangers
8/7/2026,823024,totals-runs-v4-additive-median-woba,9,104,-115,7.3,5,U,-1.7,W,89,research_lean,Colorado Rockies @ St. Louis Cardinals
8/7/2026,823103,totals-runs-v4-additive-median-woba,7.5,107,-114,6.7,3,U,-0.8,,89,no_lean,Tampa Bay Rays @ Seattle Mariners
8/7/2026,823191,totals-runs-v4-additive-median-woba,8,-110,-108,8.5,7,U,0.5,,67,no_lean,Detroit Tigers @ San Francisco Giants
8/7/2026,823266,totals-runs-v4-additive-median-woba,8,-105,-115,10.3,9,O,2.3,W,71,research_lean,Houston Astros @ San Diego Padres
8/7/2026,823349,totals-runs-v4-additive-median-woba,8.5,-113,100,5.9,10,O,-2.6,L,74,research_lean,New York Mets @ Pittsburgh Pirates
8/7/2026,823428,totals-runs-v4-additive-median-woba,10,107,-115,7.3,9,U,-2.7,W,87,research_lean,Toronto Blue Jays @ Philadelphia Phillies
8/7/2026,823515,totals-runs-v4-additive-median-woba,7.5,-107,105,6.9,5,U,-0.6,,84,no_lean,Atlanta Braves @ New York Yankees
8/7/2026,823750,totals-runs-v4-additive-median-woba,8,-102,-110,6.3,14,O,-1.7,L,82,research_lean,Minnesota Twins @ Milwaukee Brewers
8/7/2026,823836,totals-runs-v4-additive-median-woba,8,-113,100,4.5,7,U,-3.5,,68,research_lean,Los Angeles Angels @ Miami Marlins
8/7/2026,824081,totals-runs-v4-additive-median-woba,9.5,-113,-102,8.6,10,O,-0.9,,77,no_lean,Chicago Cubs @ Kansas City Royals
8/7/2026,824566,totals-runs-v4-additive-median-woba,8,-102,-108,9.2,10,O,1.2,W,95,research_lean,Cleveland Guardians @ Chicago White Sox
8/7/2026,824727,totals-runs-v4-additive-median-woba,9,-118,103,8.4,14,O,-0.6,,75,no_lean,Athletics @ Boston Red Sox
8/7/2026,825051,totals-runs-v4-additive-median-woba,8.5,-118,100,12.1,7,U,3.6,L,86,research_lean,Los Angeles Dodgers @ Arizona Diamondbacks
2026-08-07,822699,totals-runs-v4-additive-median-woba,8.5,-113,105,8.7,8,U,0.2,,70,no_lean,Cincinnati Reds @ Washington Nationals
2026-08-07,822863,totals-runs-v4-additive-median-woba,7.5,-109,100,10.9,3,U,3.4,L,83,research_lean,Baltimore Orioles @ Texas Rangers
2026-08-07,823024,totals-runs-v4-additive-median-woba,9,104,-115,7.3,5,U,-1.7,W,89,research_lean,Colorado Rockies @ St. Louis Cardinals
2026-08-07,823103,totals-runs-v4-additive-median-woba,7.5,107,-114,6.7,3,U,-0.8,W,89,research_lean,Tampa Bay Rays @ Seattle Mariners
2026-08-07,823191,totals-runs-v4-additive-median-woba,8,-110,-108,8.5,7,U,0.5,,67,no_lean,Detroit Tigers @ San Francisco Giants
2026-08-07,823266,totals-runs-v4-additive-median-woba,8,-105,-115,10.3,9,O,2.3,W,71,research_lean,Houston Astros @ San Diego Padres
2026-08-07,823349,totals-runs-v4-additive-median-woba,8.5,-113,100,5.9,10,O,-2.6,L,74,research_lean,New York Mets @ Pittsburgh Pirates
2026-08-07,823428,totals-runs-v4-additive-median-woba,10,107,-115,7.3,9,U,-2.7,W,87,research_lean,Toronto Blue Jays @ Philadelphia Phillies
2026-08-07,823515,totals-runs-v4-additive-median-woba,7.5,-107,105,6.9,5,U,-0.6,,84,no_lean,Atlanta Braves @ New York Yankees
2026-08-07,823750,totals-runs-v4-additive-median-woba,8,-102,-110,6.3,14,O,-1.7,L,82,research_lean,Minnesota Twins @ Milwaukee Brewers
2026-08-07,823836,totals-runs-v4-additive-median-woba,8,-113,100,4.5,7,U,-3.5,,68,no_lean_low_setup,Los Angeles Angels @ Miami Marlins
2026-08-07,824081,totals-runs-v4-additive-median-woba,9.5,-113,-102,8.6,10,O,-0.9,L,77,research_lean,Chicago Cubs @ Kansas City Royals
2026-08-07,824566,totals-runs-v4-additive-median-woba,8,-102,-108,9.2,10,O,1.2,W,95,research_lean,Cleveland Guardians @ Chicago White Sox
2026-08-07,824727,totals-runs-v4-additive-median-woba,9,-118,103,8.4,14,O,-0.6,,75,no_lean,Athletics @ Boston Red Sox
2026-08-07,825051,totals-runs-v4-additive-median-woba,8.5,-118,100,12.1,7,U,3.6,L,86,research_lean,Los Angeles Dodgers @ Arizona Diamondbacks
2026-08-08,822701,totals-runs-v4-additive-median-woba,8.5,-110,-102,6.3,10,O,-2.2,L,88,research_lean,Cincinnati Reds @ Washington Nationals
2026-08-08,822864,totals-runs-v4-additive-median-woba,8.5,-107,-107,8.3,6,U,-0.2,,83,no_lean,Baltimore Orioles @ Texas Rangers
2026-08-08,823021,totals-runs-v4-additive-median-woba,9.5,103,-118,7.6,14,O,-1.9,L,89,research_lean,Colorado Rockies @ St. Louis Cardinals
2026-08-08,823102,totals-runs-v4-additive-median-woba,7,-102,-110,7.4,5,U,0.4,,90,no_lean,Tampa Bay Rays @ Seattle Mariners
2026-08-08,823188,totals-runs-v4-additive-median-woba,7.5,-113,-102,8.9,8,O,1.4,,67,no_lean_low_setup,Detroit Tigers @ San Francisco Giants
2026-08-08,823267,totals-runs-v4-additive-median-woba,8,-102,-114,9.7,5,U,1.7,L,87,research_lean,Houston Astros @ San Diego Padres
2026-08-08,823348,totals-runs-v4-additive-median-woba,8.5,103,-118,7.3,9,O,-1.2,,66,no_lean_low_setup,New York Mets @ Pittsburgh Pirates
2026-08-08,823426,totals-runs-v4-additive-median-woba,9.5,-104,-106,8.5,12,O,-1,L,84,research_lean,Toronto Blue Jays @ Philadelphia Phillies
2026-08-08,823514,totals-runs-v4-additive-median-woba,8.5,-102,-113,6.7,9,O,-1.8,L,85,research_lean,Atlanta Braves @ New York Yankees
2026-08-08,823752,totals-runs-v4-additive-median-woba,7.5,-102,-113,7,7,U,-0.5,,86,no_lean,Minnesota Twins @ Milwaukee Brewers
2026-08-08,823834,totals-runs-v4-additive-median-woba,8.5,-107,-107,3.3,7,U,-5.2,W,78,research_lean,Los Angeles Angels @ Miami Marlins
2026-08-08,824079,totals-runs-v4-additive-median-woba,10,-113,-102,8.6,9,U,-1.4,W,90,research_lean,Chicago Cubs @ Kansas City Royals
2026-08-08,824565,totals-runs-v4-additive-median-woba,8.5,103,-118,9.5,9,O,1,W,90,research_lean,Cleveland Guardians @ Chicago White Sox
2026-08-08,824726,totals-runs-v4-additive-median-woba,9,-102,-113,8.6,10,O,-0.4,,73,no_lean,Athletics @ Boston Red Sox
2026-08-08,825049,totals-runs-v4-additive-median-woba,8.5,-102,-113,9.5,3,U,1,L,82,research_lean,Los Angeles Dodgers @ Arizona Diamondbacks
2026-08-04,822865,totals-runs-v4-additive-median-woba,8,-115,-105,8.1,9,O,0.1,,74,no_lean,San Francisco Giants @ Texas Rangers
2026-08-04,823108,totals-runs-v4-additive-median-woba,8,-108,-110,10.1,8,P,2.1,,77,research_lean,Detroit Tigers @ Seattle Mariners
