date,gamePk,side,team,pitcher_id,pitcher_name,role_label,era,whip,ip,so,bb,gs,gp,k9,bb9,era_score,whip_score,kbb_score,sample_score,raw_score,expected_innings,role_share_over5,pitcher_score_role_over5,pitcher_score_published
8/16/2026,824156,away,Seattle Mariners,693433,Bryan Woo,Traditional starter,4.15,1.1,132.33,132,28,23,23,8.98,1.9,65.6,82,60.5,70,69,5.8,1.16,72,72
8/16/2026,824156,home,Houston Astros,686613,Hunter Brown,Traditional starter,3.68,1.27,63.67,67,35,12,12,9.47,4.95,73.1,66.7,44.2,57.3,63,5.3,1.06,64,64
8/16/2026,823344,away,Boston Red Sox,663776,Patrick Sandoval,Traditional starter,4.76,1.85,34,35,16,7,7,9.26,4.24,55.8,20,47.6,46.9,44,4.9,0.98,44,44
8/16/2026,823344,home,Pittsburgh Pirates,669199,Lake Bachar,Opener / bullpen game,3.8,1.08,68.67,72,24,5,42,9.44,3.15,71.2,83.8,54.9,59,69,2.4,0.48,59,65
8/16/2026,824236,away,Chicago White Sox,680732,Sean Burke,Traditional starter,3.15,1.11,140,154,42,21,25,9.9,2.7,81.6,81.1,59.4,70,75,5.4,1.08,77,77
8/16/2026,824236,home,Detroit Tigers,623454,Drew Anderson,Opener / bullpen game,4.01,1.3,76.33,87,29,5,43,10.26,3.42,67.8,64,56.5,61.7,64,3,0.6,58,77
8/17/2026,824478,away,St. Louis Cardinals,669467,Andre Pallante,Traditional starter,3.57,1.24,136,97,41,24,24,6.42,2.71,74.9,69.4,45.4,70,67,5.7,1.14,69,70
8/17/2026,824478,home,Cincinnati Reds,695076,Rhett Lowder,Traditional starter,5.17,1.49,101,82,42,19,22,7.31,3.74,49.3,46.9,42.8,70,50,4.9,0.98,50,50
8/17/2026,823427,away,Miami Marlins,676083,Janson Junk,Traditional starter,4.37,1.36,92.67,66,26,18,18,6.41,2.53,62.1,58.6,46.5,67.4,59,5.2,1.04,59,59
8/17/2026,823427,home,Philadelphia Phillies,650911,Cristopher Sánchez,Traditional starter,2.51,1.22,161.67,187,38,26,26,10.41,2.12,91.8,71.2,64.9,70,78,6.2,1.24,85,86
8/17/2026,824514,away,St. Louis Cardinals,687273,Quinn Mathews,Traditional starter,3,1.56,9,10,6,2,2,10,6,84,40.6,40,38.1,57,4.5,0.9,56,56
8/17/2026,824514,home,Cincinnati Reds,592288,Kent Emanuel,Limited starter,3.6,1.6,5,4,3,1,1,7.2,5.4,74.4,37,32.4,36.8,51,4,0.8,51,42
8/17/2026,824641,away,Chicago White Sox,622491,Luis Castillo,Traditional starter,4.99,1.37,115.33,102,36,20,23,7.96,2.81,52.2,57.7,51,70,56,5.2,1.04,56,57
8/17/2026,824641,home,Chicago Cubs,684007,Shota Imanaga,Traditional starter,3.77,1.09,143.33,140,32,25,25,8.79,2.01,71.7,82.9,59.1,70,72,5.7,1.14,75,75
8/17/2026,823589,away,San Diego Padres,621111,Walker Buehler,Traditional starter,4.79,1.39,120.33,104,49,25,25,7.78,3.66,55.4,55.9,45.1,70,56,4.8,0.96,56,54
8/17/2026,823589,home,New York Mets,690997,Nolan McLean,Traditional starter,3.34,1.16,142.67,162,54,25,25,10.22,3.41,78.6,76.6,56.4,70,72,5.7,1.14,75,76
8/17/2026,824725,away,Arizona Diamondbacks,683352,Mitch Bratt,Traditional starter,4.17,1.47,36.67,25,22,8,8,6.14,5.4,65.3,48.7,28.1,47.8,51,4.8,0.96,51,56
8/17/2026,824725,home,Boston Red Sox,687941,Alec Gamboa,Role unknown,1.47,1.04,18.33,13,5,1,10,6.38,2.45,92,87.4,46.8,41.4,74,4.5,0.9,72,70
8/17/2026,824077,away,Athletics,686930,Mason Barnett,Limited starter,7.08,1.62,40.67,38,24,4,18,8.41,5.31,20,35.2,37.8,49.2,32,4.4,0.88,34,43
8/17/2026,824077,home,Kansas City Royals,608379,Michael Wacha,Traditional starter,3.58,1.15,155.67,120,41,25,25,6.94,2.37,74.7,77.5,49.5,70,70,6.3,1.26,75,75
8/17/2026,823668,away,Atlanta Braves,527048,Martín Pérez,Traditional starter,3.15,1.19,111.33,83,45,20,24,6.71,3.64,81.6,73.9,41,70,70,5.1,1.02,70,72
8/17/2026,823668,home,Minnesota Twins,641927,Bailey Ober,Traditional starter,4.62,1.25,103.33,71,26,19,19,6.18,2.26,58.1,68.5,47.1,70,60,5.5,1.1,61,61
8/17/2026,822939,away,Baltimore Orioles,687064,Brandon Young,Traditional starter,3.52,1.35,117.67,96,42,21,21,7.34,3.21,75.7,59.5,46.1,70,65,5.7,1.14,67,69
8/17/2026,822939,home,Tampa Bay Rays,663556,Shane McClanahan,Traditional starter,3.25,1.12,102.33,94,35,21,21,8.27,3.08,80,80.2,50.6,70,73,5,1,73,74
8/17/2026,824320,away,Los Angeles Dodgers,605483,Blake Snell,Traditional starter,3.6,1.13,15,20,6,3,3,12,3.6,74.4,79.3,62.4,40.3,68,4.5,0.9,66,56
8/17/2026,824320,home,Colorado Rockies,608372,Tomoyuki Sugano,Traditional starter,4.7,1.26,118.67,69,27,22,22,5.23,2.05,56.8,67.6,44.6,70,59,5.4,1.08,60,62
8/17/2026,823343,away,Detroit Tigers,664285,Framber Valdez,Traditional starter,4.35,1.4,138.67,111,54,25,25,7.2,3.5,62.4,55,43.8,70,58,5.5,1.1,59,60
8/17/2026,823343,home,Pittsburgh Pirates,669387,Carmen Mlodzinski,Limited starter,4.03,1.45,102.67,81,36,12,28,7.1,3.16,67.5,50.5,45.5,70,59,4.5,0.9,58,61
8/18/2026,824398,away,San Francisco Giants,687931,Carson Whisenhunt,Traditional starter,6.89,1.85,31.33,23,20,7,7,6.61,5.74,21.8,20,28,46,26,4.7,0.94,27,34
8/18/2026,824398,home,Cleveland Guardians,656492,Foster Griffin,Traditional starter,3.22,1.12,142.33,128,35,25,25,8.09,2.21,80.5,80.2,55.1,70,74,5.8,1.16,78,78
8/18/2026,822938,away,Toronto Blue Jays,667755,José Soriano,Traditional starter,3.1,1.24,136.67,136,62,25,25,8.96,4.08,82.4,69.4,47.3,70,70,5.6,1.12,72,72
8/18/2026,822938,home,Tampa Bay Rays,607259,Nick Martinez,Traditional starter,3.05,1.14,141.67,83,22,24,24,5.27,1.4,83.2,78.4,48.7,70,73,6,1.2,78,81
8/18/2026,823423,away,Miami Marlins,806188,Cade Gibson,Role unknown,5.66,1.57,35,30,17,1,30,7.71,4.37,41.4,39.7,40.6,47.3,42,4.5,0.9,43,44
8/18/2026,823423,home,Philadelphia Phillies,554430,Zack Wheeler,Traditional starter,2.87,0.99,119.33,143,31,21,21,10.78,2.34,86.1,91.9,65.1,70,81,5.8,1.16,86,86
8/18/2026,824475,away,St. Louis Cardinals,681517,Kyle Leahy,Traditional starter,3.26,1.31,121.33,111,35,24,24,8.23,2.6,79.8,63.1,53.4,70,69,5.1,1.02,69,67
8/18/2026,824475,home,Cincinnati Reds,671096,Andrew Abbott,Traditional starter,4.06,1.4,137.33,106,65,26,26,6.95,4.26,67,55,38.2,70,59,5.3,1.06,60,59
8/18/2026,824723,away,Arizona Diamondbacks,518876,Merrill Kelly,Traditional starter,5.27,1.51,126.33,83,55,23,23,5.91,3.92,47.7,45.1,36.1,70,48,5.7,1.14,48,50
8/18/2026,824723,home,Boston Red Sox,624133,Ranger Suarez,Traditional starter,3.19,1.17,110,110,32,22,22,9,2.62,81,75.7,56.3,70,73,5.1,1.02,73,73
8/18/2026,824154,away,Los Angeles Angels,691946,George Klassen,Limited starter,5.52,2.11,14.67,14,15,4,4,8.59,9.2,43.7,20,20,40.1,32,3.7,0.74,37,64
8/18/2026,824154,home,Houston Astros,664299,Cristian Javier,Limited starter,6.68,1.7,32.33,25,16,6,10,6.96,4.45,25.1,28,37.1,46.3,31,3.9,0.78,35,73
8/18/2026,824075,away,Athletics,669620,Brady Basso,Opener / bullpen game,4.35,1.4,20.67,18,3,1,15,7.84,1.31,62.4,55,59.5,42.2,57,2.3,0.46,53,46
8/18/2026,824075,home,Kansas City Royals,663738,Daniel Lynch IV,Opener / bullpen game,3,1.08,51,40,16,3,49,7.06,2.82,84,83.8,47.3,52.8,72,2,0.4,59,65
8/18/2026,824319,away,Los Angeles Dodgers,641778,Eric Lauer,Traditional starter,4.67,1.24,98.33,63,31,16,19,5.77,2.84,57.3,69.4,42,69.4,59,5.1,1.02,59,59
8/18/2026,824319,home,Colorado Rockies,663372,Ryan Feltner,Traditional starter,5.59,1.49,87,61,36,18,18,6.31,3.72,42.6,46.9,38.9,65.5,46,4.8,0.96,46,46
8/18/2026,824639,away,Chicago White Sox,663542,Bryan Hudson,Opener / bullpen game,3.14,1.28,51.67,50,17,6,54,8.71,2.96,81.8,65.8,53.1,53.1,68,1.2,0.24,54,59
8/18/2026,824639,home,Chicago Cubs,592332,Kevin Gausman,Traditional starter,4.53,1.27,139,138,38,25,25,8.94,2.46,59.5,66.7,57,70,62,5.6,1.12,63,63
8/18/2026,823667,away,Atlanta Braves,641816,Tyler Mahle,Traditional starter,4.63,1.32,107,105,39,21,21,8.83,3.28,57.9,62.2,51.6,70,60,5.3,1.06,61,60
