date,game_pk,game,pick_team,direction_winner,direction_correct,submodel_strength_right,submodel_run_right,starter_favored_team,starter_gap,starter_held_up,starter_favored_era,starter_other_era,away_team,away_proj_runs,away_actual_runs,away_offense_diff,home_team,home_proj_runs,home_actual_runs,home_offense_diff,away_bullpen_flagged,away_bullpen_actual_er,away_bullpen_actual_era,home_bullpen_flagged,home_bullpen_actual_er,home_bullpen_actual_era,matchup_url
2026-08-06,823754,Pittsburgh Pirates @ Milwaukee Brewers,Milwaukee Brewers,Milwaukee Brewers,1,1,1,Pittsburgh Pirates,8,0,7.2,3,Pittsburgh Pirates,3.3,2,-1.3,Milwaukee Brewers,3.5,5,1.5,1,1,3,0,0,0,/mlb/pirates-vs-brewers-prediction-odds-2026-08-06/
2026-08-06,824885,Miami Marlins @ Atlanta Braves,Atlanta Braves,Atlanta Braves,1,1,,Atlanta Braves,13,1,0,6,Miami Marlins,,,,Atlanta Braves,,,,0,6,10.8,0,3,4.5,/mlb/marlins-vs-braves-prediction-odds-2026-08-06/
2026-08-06,824664,Toronto Blue Jays @ Chicago Cubs,Chicago Cubs,Chicago Cubs,1,1,1,Toronto Blue Jays,36,1,0,1.8,Toronto Blue Jays,3.4,2,,Chicago Cubs,4,3,,1,2,5.4,0,1,1.5,/mlb/blue-jays-vs-cubs-prediction-odds-2026-08-06/
2026-08-06,823430,Washington Nationals @ Philadelphia Phillies,Philadelphia Phillies,Philadelphia Phillies,1,1,1,Philadelphia Phillies,33,1,3.6,10.8,Washington Nationals,3.2,3,-0.2,Philadelphia Phillies,5.2,7,1.8,0,1,3,1,1,2.25,/mlb/nationals-vs-phillies-prediction-odds-2026-08-06/
2026-08-06,824080,Minnesota Twins @ Kansas City Royals,Kansas City Royals,Minnesota Twins,0,0,0,Kansas City Royals,11,1,1.59,4.5,Minnesota Twins,2.9,4,1.1,Kansas City Royals,3.3,3,-0.3,0,0,0,0,3,8.1,/mlb/twins-vs-royals-prediction-odds-2026-08-06/
2026-08-06,824401,New York Mets @ Cleveland Guardians,New York Mets,New York Mets,1,1,0,No clear pitching-plan edge,2,0,11.25,9,New York Mets,2.8,13,10.2,Cleveland Guardians,3.9,6,2.1,0,1,2.25,1,8,14.4,/mlb/mets-vs-guardians-prediction-odds-2026-08-06/
2026-08-06,825053,San Diego Padres @ Arizona Diamondbacks,Arizona Diamondbacks,San Diego Padres,0,0,1,No clear pitching-plan edge,2,1,2.25,7.36,San Diego Padres,5.5,5,-0.5,Arizona Diamondbacks,5,1,-4,1,0,0,0,2,3.38,/mlb/padres-vs-diamondbacks-prediction-odds-2026-08-06/
2026-08-06,823105,Detroit Tigers @ Seattle Mariners,Seattle Mariners,Detroit Tigers,0,0,1,Seattle Mariners,19,0,7.2,0,Detroit Tigers,4.8,11,6.2,Seattle Mariners,3.3,0,-3.3,0,0,0,0,6,13.5,/mlb/tigers-vs-mariners-prediction-odds-2026-08-06/
2026-08-07,824727,Athletics @ Boston Red Sox,Boston Red Sox,Boston Red Sox,1,1,,Boston Red Sox,28,1,1.5,15,Athletics,,,,Boston Red Sox,,,,0,6,10.8,1,0,0,/mlb/athletics-vs-red-sox-prediction-odds-2026-08-07/
2026-08-07,823750,Minnesota Twins @ Milwaukee Brewers,Milwaukee Brewers,Minnesota Twins,0,0,,Milwaukee Brewers,15,0,10.8,5.4,Minnesota Twins,,,,Milwaukee Brewers,,,,0,0,0,1,2,4.5,/mlb/twins-vs-brewers-prediction-odds-2026-08-07/
