date,gamePk,model_version,matchup,away_team,home_team,pick_team,status,winner,home_model_prob,home_pitcher_gap,home_pitcher,home_pitcher_score,away_pitcher,away_pitcher_score,home_era,away_era,home_woba,away_woba,home_bullpen_risk,away_bullpen_risk,home_strength_blend,away_strength_blend,home_woba_gap,home_bullpen_gap,home_pitcher_boost,home_pre_bullpen_odds,home_pre_bullpen_prob,home_bullpen_adj,home_money_line_odds,home_moneyline_prop
8/17/2026,824725,leo,Arizona Diamondbacks @ Boston Red Sox,Arizona Diamondbacks,Boston Red Sox,home team,pass,,0.9359,14,Alec Gamboa,70,Mitch Bratt,56,3.6,4.04,0.3512,0.3355,51,34,0.483,0.5044,0.0157,-17,8.1662,15.3666,0.9389,-0.051,14.6006,0.9359
8/17/2026,824320,leo,Los Angeles Dodgers @ Colorado Rockies,Los Angeles Dodgers,Colorado Rockies,home team,pass,,0.726,6,Tomoyuki Sugano,62,Blake Snell,56,4.75,3.99,0.3298,0.2931,67,58,0.4505,0.5924,0.0367,-9,2.4596,2.7216,0.7313,-0.027,2.6496,0.726
8/17/2026,823343,leo,Detroit Tigers @ Pittsburgh Pirates,Detroit Tigers,Pittsburgh Pirates,home team,pass,,0.5383,1,Carmen Mlodzinski,61,Framber Valdez,60,4.05,3.63,0.2993,0.33,77,72,0.4921,0.5534,-0.0307,-5,1.1618,1.1834,0.542,-0.015,1.1659,0.5383
8/18/2026,824398,leo,San Francisco Giants @ Cleveland Guardians,San Francisco Giants,Cleveland Guardians,home team,official_pick,,0.7376,44,Foster Griffin,78,Carson Whisenhunt,34,4.39,5.03,0.3194,0.2775,56,58,0.4175,0.3978,0.0419,2,20.0855,39.1606,0.9751,0.006,2.811,0.7376
8/18/2026,822938,leo,Toronto Blue Jays @ Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays,home team,value_watch,,0.6987,9,Nick Martinez,81,José Soriano,72,4.25,3.61,0.3578,0.2924,87,81,0.5952,0.5144,0.0654,-6,3.8574,8.901,0.899,-0.018,2.319,0.6987
8/18/2026,823423,leo,Miami Marlins @ Philadelphia Phillies,Miami Marlins,Philadelphia Phillies,home team,watchlist,,0.7414,42,Zack Wheeler,86,Cade Gibson,44,3.62,4.33,0.3361,0.3215,76,65,0.519,0.5151,0.0146,-11,20.0855,58.8802,0.9833,-0.033,2.867,0.7414
8/18/2026,824475,leo,St. Louis Cardinals @ Cincinnati Reds,St. Louis Cardinals,Cincinnati Reds,away team,watchlist,,0.3104,-8,Andrew Abbott,59,Kyle Leahy,67,5.04,3.36,0.2727,0.3361,78,66,0.5441,0.4134,-0.0634,-12,0.3012,0.1423,0.1246,-0.036,0.4501,0.3104
8/18/2026,824723,leo,Arizona Diamondbacks @ Boston Red Sox,Arizona Diamondbacks,Boston Red Sox,home team,watchlist,,0.7402,23,Ranger Suarez,73,Merrill Kelly,50,2.8,5.22,0.3601,0.3338,71,55,0.4897,0.4976,0.0263,-16,20.0855,52.4759,0.9813,-0.048,2.8491,0.7402
8/18/2026,824154,leo,Los Angeles Angels @ Houston Astros,Los Angeles Angels,Houston Astros,home team,watchlist,,0.6625,9,Cristian Javier,73,George Klassen,64,3.7,4.28,0.294,0.2659,65,50,0.4491,0.4361,0.0281,-15,3.8574,4.9312,0.8314,-0.045,1.963,0.6625
8/18/2026,824075,leo,Athletics @ Kansas City Royals,Athletics,Kansas City Royals,home team,watchlist,,0.7362,19,Daniel Lynch IV,65,Brady Basso,46,4.2,5.39,0.2894,0.3175,43,57,0.4306,0.3957,-0.0281,14,17.2878,33.8432,0.9713,0.042,2.7908,0.7362
