date,gamePk,matchup,pick_team,opp_team,status,result,lab_score_published,model_prob,strength_prob_pick,run_prob_pick,pick_pitcher_score,opp_pitcher_score,pick_bullpen_risk,opp_bullpen_risk,assigned_bullpen_innings,pick_woba_15d,opp_woba_15d,pick_woba_30d,opp_woba_30d,pitch_gap,pitch_edge_supports
8/22/2026,825044,Cincinnati Reds @ Arizona Diamondbacks,Arizona Diamondbacks,Cincinnati Reds,official_pick,,93,0.7419,0.9839,0.89,76,50,64,81,3.6,0.3492,0.2552,0.3351,0.2846,26,TRUE
8/22/2026,823261,Minnesota Twins @ San Diego Padres,San Diego Padres,Minnesota Twins,official_pick,,81,0.7419,0.9839,0.8691,75,56,39,57,3.6,0.3444,0.3254,0.3356,0.3019,19,TRUE
8/22/2026,823831,Washington Nationals @ Miami Marlins,Miami Marlins,Washington Nationals,value_watch,,78,0.7424,0.9849,0.649,74,48,67,81,3.5,0.3331,0.3041,0.3191,0.3143,26,TRUE
8/22/2026,823910,Pittsburgh Pirates @ Los Angeles Dodgers,Los Angeles Dodgers,Pittsburgh Pirates,watchlist,,72,0.7446,0.9892,0.6169,82,61,68,70,3,0.3077,0.3179,0.3178,0.296,21,TRUE
8/22/2026,823509,Toronto Blue Jays @ New York Yankees,Toronto Blue Jays,New York Yankees,watchlist,,71,0.6951,0.8902,,82,70,70,60,3.1,0.3281,0.2909,0.3123,0.2824,12,TRUE
8/22/2026,823743,Atlanta Braves @ Milwaukee Brewers,Milwaukee Brewers,Atlanta Braves,watchlist,,69,0.7137,0.9274,0.7169,80,70,76,51,3.9,0.3232,0.2654,0.3254,0.2974,10,TRUE
8/22/2026,824316,Cleveland Guardians @ Colorado Rockies,Cleveland Guardians,Colorado Rockies,watchlist,,68,0.7437,0.9874,0.6158,67,41,65,67,3.2,0.3168,0.3105,0.2957,0.315,26,TRUE
8/22/2026,824560,New York Mets @ Chicago White Sox,New York Mets,Chicago White Sox,watchlist,,65,0.7009,0.9018,0.5837,68,56,44,75,4.3,0.3183,0.3425,0.3196,0.3209,12,TRUE
8/22/2026,822858,Los Angeles Angels @ Texas Rangers,Texas Rangers,Los Angeles Angels,pass,,64,0.7383,0.9765,,62,38,68,36,3.9,0.2697,0.2766,0.2895,0.2745,24,TRUE
8/22/2026,824151,Athletics @ Houston Astros,Houston Astros,Athletics,pass,,64,0.7231,0.9462,0.6726,63,48,75,75,3.7,0.2778,0.3104,0.3199,0.2918,15,TRUE
8/22/2026,824798,Tampa Bay Rays @ Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles,pass,,58,0.67,0.84,0.8007,73,65,61,51,4.1,0.3354,0.3324,0.3172,0.3092,8,TRUE
8/22/2026,823422,St. Louis Cardinals @ Philadelphia Phillies,St. Louis Cardinals,Philadelphia Phillies,pass,,58,0.7225,0.9451,0.8788,57,41,73,55,4.5,0.3314,0.3364,0.3118,0.3311,16,TRUE
8/22/2026,824073,Detroit Tigers @ Kansas City Royals,Kansas City Royals,Detroit Tigers,pass,,47,0.6317,0.7634,0.4388,70,64,82,50,2.8,0.3253,0.2972,0.308,0.34,6,TRUE
8/22/2026,824718,San Francisco Giants @ Boston Red Sox,San Francisco Giants,Boston Red Sox,pass,,42,0.7156,0.9312,0.8101,58,44,66,57,4,0.2685,0.3532,0.2939,0.3559,14,TRUE
8/22/2026,823100,Chicago Cubs @ Seattle Mariners,Seattle Mariners,Chicago Cubs,pass,,12,0.5086,0.5172,0.0491,50,49,84,63,4.5,0.2988,0.3411,0.3,0.3399,1,FALSE
8/23/2026,824720,San Francisco Giants @ Boston Red Sox,Boston Red Sox,San Francisco Giants,watchlist,,78,0.7003,0.9007,,72,63,53,61,3.2,0.3449,0.2715,0.3556,0.2938,9,TRUE
8/23/2026,823421,St. Louis Cardinals @ Philadelphia Phillies,Philadelphia Phillies,St. Louis Cardinals,pass,,64,0.6954,0.8908,0.9412,78,70,48,69,2.8,0.3481,0.3269,0.336,0.3079,8,TRUE
8/23/2026,824315,Cleveland Guardians @ Colorado Rockies,Cleveland Guardians,Colorado Rockies,pass,,63,0.7418,0.9836,0.4875,74,56,58,64,3.3,0.3135,0.3059,0.3015,0.3117,18,TRUE
8/23/2026,823745,Atlanta Braves @ Milwaukee Brewers,Milwaukee Brewers,Atlanta Braves,pass,,63,0.6785,0.857,0.7834,66,60,66,56,3.7,0.3214,0.2685,0.3253,0.2955,6,TRUE
8/23/2026,823099,Chicago Cubs @ Seattle Mariners,Chicago Cubs,Seattle Mariners,pass,,60,0.5326,0.5652,0.1963,71,70,65,83,3.4,0.3599,0.304,0.3486,0.2998,1,FALSE
8/23/2026,824799,Tampa Bay Rays @ Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles,pass,,56,0.694,0.8881,0.8445,74,64,73,66,3.2,0.3287,0.3218,0.3209,0.3021,10,TRUE
8/23/2026,824150,Athletics @ Houston Astros,Houston Astros,Athletics,pass,,51,0.7356,0.9713,0.6378,61,42,84,74,5.3,0.2643,0.3306,0.3162,0.2982,19,TRUE
8/23/2026,823909,Pittsburgh Pirates @ Los Angeles Dodgers,Los Angeles Dodgers,Pittsburgh Pirates,pass,,49,0.6128,0.7256,0.6185,73,71,64,80,4.1,0.3053,0.2969,0.3153,0.2891,2,FALSE
8/23/2026,823827,Washington Nationals @ Miami Marlins,Washington Nationals,Miami Marlins,pass,,44,0.6455,0.7911,0.4295,68,61,60,88,5.1,0.291,0.3266,0.3082,0.3171,7,TRUE
8/23/2026,824071,Detroit Tigers @ Kansas City Royals,Detroit Tigers,Kansas City Royals,pass,,43,0.5904,0.6809,0.4357,75,70,48,65,7.7,0.295,0.3337,0.336,0.3109,5,TRUE
8/23/2026,822856,Los Angeles Angels @ Texas Rangers,Los Angeles Angels,Texas Rangers,pass,,42,0.5223,0.5446,,71,71,39,72,5,0.2821,0.2736,0.2782,0.2879,0,FALSE
8/23/2026,825043,Cincinnati Reds @ Arizona Diamondbacks,Cincinnati Reds,Arizona Diamondbacks,pass,,36,0.7154,0.9308,0.6378,60,47,69,84,3.7,0.2744,0.3492,0.2958,0.3315,13,TRUE
8/23/2026,824558,New York Mets @ Chicago White Sox,Chicago White Sox,New York Mets,pass,,32,0.5908,0.6816,0.5946,76,73,82,49,6.9,0.3434,0.3283,0.3216,0.3253,3,FALSE
8/23/2026,823507,Toronto Blue Jays @ New York Yankees,New York Yankees,Toronto Blue Jays,pass,,27,0.5361,0.5722,0.3366,68,68,62,62,4.1,0.3017,0.3189,0.2878,0.3099,0,FALSE
8/23/2026,823258,Minnesota Twins @ San Diego Padres,Minnesota Twins,San Diego Padres,pass,,25,0.5629,0.6258,0.8358,61,57,54,54,3.6,0.3164,0.3539,0.3094,0.3426,4,TRUE
8/24/2026,823992,Cleveland Guardians @ Los Angeles Angels,Cleveland Guardians,Los Angeles Angels,official_pick,,72,0.7284,0.9569,,81,49,51,37,3,0.3092,0.2881,0.3027,0.2758,32,TRUE
8/24/2026,824235,Tampa Bay Rays @ Detroit Tigers,Tampa Bay Rays,Detroit Tigers,watchlist,,71,0.7286,0.9571,0.6721,80,58,75,75,3.4,0.3348,0.2815,0.3159,0.3342,22,TRUE
8/24/2026,823097,Philadelphia Phillies @ Seattle Mariners,Philadelphia Phillies,Seattle Mariners,watchlist,,68,0.5905,0.6809,0.0272,80,76,44,96,3.3,0.3522,0.3034,0.3419,0.3001,4,TRUE
8/24/2026,822695,Colorado Rockies @ Washington Nationals,Washington Nationals,Colorado Rockies,watchlist,,67,0.7186,0.9372,0.4691,73,42,59,80,3.7,0.2928,0.2991,0.3123,0.3115,31,TRUE
8/24/2026,823183,Cincinnati Reds @ San Francisco Giants,Cincinnati Reds,San Francisco Giants,pass,,64,0.7347,0.9694,,79,26,62,62,3.3,0.2778,0.2829,0.2939,0.2917,53,TRUE
8/24/2026,825041,Chicago Cubs @ Arizona Diamondbacks,Chicago Cubs,Arizona Diamondbacks,pass,,63,0.6933,0.8866,0.157,61,47,86,87,3.5,0.3651,0.3535,0.353,0.3328,14,TRUE
8/24/2026,824964,Minnesota Twins @ Athletics,Minnesota Twins,Athletics,pass,,60,0.6994,0.8988,0.4022,55,45,59,100,3.3,0.3181,0.3288,0.3119,0.3007,10,TRUE
8/24/2026,823828,Boston Red Sox @ Miami Marlins,Boston Red Sox,Miami Marlins,pass,,55,0.5172,0.5345,,71,70,43,90,3.9,0.3432,0.3254,0.3508,0.3177,1,FALSE
8/24/2026,824557,Texas Rangers @ Chicago White Sox,Texas Rangers,Chicago White Sox,pass,,48,0.7214,0.9428,0.8624,57,33,73,94,4.2,0.2814,0.3467,0.2895,0.3232,24,TRUE
8/24/2026,823260,Pittsburgh Pirates @ San Diego Padres,Pittsburgh Pirates,San Diego Padres,pass,,10,0.5602,0.6204,0.7745,73,67,90,49,3,0.2819,0.3605,0.2911,0.3443,6,TRUE
8/25/2026,823826,Boston Red Sox @ Miami Marlins,Boston Red Sox,Miami Marlins,official_pick,,80,0.6995,0.8989,,78,63,56,82,3.4,0.351,0.3078,0.3572,0.3171,15,TRUE
8/25/2026,824962,Minnesota Twins @ Athletics,Minnesota Twins,Athletics,pass,,64,0.7195,0.9389,0.5492,65,52,64,100,3.4,0.3349,0.334,0.3197,0.3072,13,TRUE
8/25/2026,824881,Los Angeles Dodgers @ Atlanta Braves,Los Angeles Dodgers,Atlanta Braves,pass,,59,0.638,0.7761,0.3847,74,65,48,51,4,0.3168,0.2819,0.3142,0.2991,9,TRUE
8/25/2026,823259,Pittsburgh Pirates @ San Diego Padres,San Diego Padres,Pittsburgh Pirates,pass,,53,0.5284,0.5568,0.8324,70,70,68,85,3.3,0.3437,0.286,0.3391,0.2934,0,FALSE
8/25/2026,823016,Baltimore Orioles @ St. Louis Cardinals,St. Louis Cardinals,Baltimore Orioles,pass,,46,0.6218,0.7436,0.217,54,46,74,48,4,0.3151,0.3074,0.311,0.3022,8,TRUE
8/25/2026,823989,Cleveland Guardians @ Los Angeles Angels,Cleveland Guardians,Los Angeles Angels,pass,,45,0.5702,0.6404,,73,71,46,55,3.1,0.3127,0.284,0.3068,0.2719,2,FALSE
8/25/2026,825042,Chicago Cubs @ Arizona Diamondbacks,Chicago Cubs,Arizona Diamondbacks,pass,,45,0.5733,0.6465,0.2017,75,71,73,83,3.3,0.3589,0.3457,0.3509,0.3309,4,TRUE
8/25/2026,823585,Milwaukee Brewers @ New York Mets,Milwaukee Brewers,New York Mets,pass,,43,0.6339,0.7678,0.5274,79,71,67,60,4.2,0.3237,0.3283,0.3235,0.3315,8,TRUE
8/25/2026,823181,Cincinnati Reds @ San Francisco Giants,San Francisco Giants,Cincinnati Reds,pass,,42,0.5669,0.6339,0.5369,62,56,68,61,4.2,0.2963,0.2784,0.2899,0.2946,6,TRUE
8/25/2026,824556,Texas Rangers @ Chicago White Sox,Texas Rangers,Chicago White Sox,pass,,36,0.644,0.788,0.6725,72,63,61,93,3.7,0.2917,0.3317,0.2908,0.3233,9,TRUE
8/25/2026,824233,Tampa Bay Rays @ Detroit Tigers,Tampa Bay Rays,Detroit Tigers,pass,,36,0.5467,0.5934,0.6303,53,52,66,69,7.3,0.3316,0.2862,0.3153,0.3334,1,FALSE
8/25/2026,822773,Kansas City Royals @ Toronto Blue Jays,Toronto Blue Jays,Kansas City Royals,official_pick,,73,0.7289,0.9578,0.2943,60,56,63,53,3.4,0.3342,0.3239,0.3186,0.3059,23,TRUE
8/25/2026,823505,Houston Astros @ New York Yankees,New York Yankees,Houston Astros,pass,,31,0.5267,0.5535,0.5,59,60,53,77,4.1,0.2993,0.2809,0.2902,0.3182,1,FALSE
8/25/2026,822693,Colorado Rockies @ Washington Nationals,Colorado Rockies,Washington Nationals,pass,,30,0.5534,0.6068,0.3559,65,64,70,54,6,0.2963,0.292,0.3148,0.3105,1,FALSE
8/25/2026,823098,Philadelphia Phillies @ Seattle Mariners,Seattle Mariners,Philadelphia Phillies,pass,,30,0.6102,0.7204,0.0752,62,55,89,49,3.2,0.3237,0.3444,0.3114,0.3409,7,TRUE
2026-08-26,823825,Boston Red Sox @ Miami Marlins,Boston Red Sox,Miami Marlins,official_pick,,84,0.7071,0.9142,0.1478,75,59,68,99,3.2,0.3566,0.3084,0.3571,0.319,16,TRUE
2026-08-26,823988,Cleveland Guardians @ Los Angeles Angels,Cleveland Guardians,Los Angeles Angels,official_pick,,80,0.7306,0.9613,0.1919,62,40,91,76,4.2,0.3174,0.2969,0.3156,0.2754,22,TRUE
2026-08-26,823180,Cincinnati Reds @ San Francisco Giants,San Francisco Giants,Cincinnati Reds,official_pick,,72,0.7184,0.9367,,70,49,90,61,2.8,0.3026,0.2743,0.2922,0.291,21,TRUE
2026-08-26,824555,Texas Rangers @ Chicago White Sox,Chicago White Sox,Texas Rangers,official_pick,,72,0.6664,0.8327,0.8657,75,65,85,72,3.5,0.3403,0.3037,0.321,0.2978,10,TRUE
